element_index,cx,cy,cz,Re_J,Im_J,magnitude_J
17,9.326701609428e+01,4.437066690005e+01,1.581248132551e+01,-3.653176714499e-04,-4.110357333194e-04,5.499157891341e-04
18,9.338067412180e+01,4.426337006459e+01,-1.585798636807e+00,1.035953753619e-04,-1.724826766940e-04,2.012020764204e-04
19,9.338067412180e+01,4.426337006459e+01,-1.869619045365e+01,-2.791433117681e-04,7.294436563448e-05,2.885166701989e-04
20,9.826701609428e+01,3.937066690005e+01,1.456248132551e+01,2.542447980459e-04,-3.235299827839e-04,4.114754756891e-04
21,9.826701609428e+01,3.937066690005e+01,-3.484447041596e+01,4.576148394811e-04,-4.203166149725e-04,6.213512679115e-04
22,9.838067412180e+01,3.926337006459e+01,-1.827952378698e+01,8.253290832452e-05,-1.265325284386e-04,1.510700556350e-04
23,9.838067412180e+01,3.926337006459e+01,-2.002465303474e+00,-3.300056696500e-04,3.674343365683e-05,3.320449094897e-04
24,9.576701609428e+01,4.187066690005e+01,9.660901988802e+00,3.163814032424e-04,-2.395957295050e-04,3.968668616988e-04
25,9.576701609428e+01,4.187066690005e+01,-2.994289107926e+01,1.625114354384e-04,-6.477882538646e-04,6.678619531709e-04
26,9.755788651341e+01,4.111502441556e+01,-4.074416892451e+01,-4.556386745206e-05,-4.133452542072e-04,4.158489692098e-04
27,9.755788651341e+01,4.111502441556e+01,2.046217983405e+01,2.835912136160e-04,-3.359736275518e-04,4.396615230499e-04
